"","zip","city1","city2","city3","total.reports","frisked","searchperson","searchedvehicle","summonsissued","totpop","male","female","NHwhite","NHblack","NHnative","NHasianPI","Latinx","total_rate","frisk_rate","searchperson_rate","searchvehicle_rate","summons_rate"
"1",2108,"BOSTON","","",273,87,50,8,8,4082,1979,2103,3372,188,5,151,201,6687.89808917197,2131.3081822636,1224.88975992161,195.982361587457,195.982361587457
"2",2109,"BOSTON","","",59,20,7,1,3,3853,2139,1714,3166,144,0,313,142,1531.27433168959,519.07604464054,181.676615624189,25.953802232027,77.861406696081
"3",2110,"BOSTON","","",120,35,22,4,7,2449,1008,1441,1972,28,0,235,35,4899.95916700694,1429.15475704369,898.325847284606,163.331972233565,285.830951408738
"4",2111,"BOSTON","","",429,94,70,20,27,7926,3727,4199,2767,311,39,4242,440,5412.56623769871,1185.97022457734,883.169316174615,252.334090335604,340.651021953066
"5",2113,"BOSTON","","",20,3,3,1,1,7531,3879,3652,6677,25,16,124,588,265.568981542956,39.8353472314434,39.8353472314434,13.2784490771478,13.2784490771478
"6",2114,"BOSTON","","",87,28,14,2,2,13516,6860,6656,9765,551,8,1336,1597,643.681562592483,207.161882213673,103.580941106836,14.7972773009766,14.7972773009766
"7",2115,"BOSTON","","",133,21,15,6,2,29108,14410,14698,16959,2268,24,4543,4400,456.919060052219,72.1451147450873,51.5322248179195,20.6128899271678,6.87096330905593
"8",2116,"BOSTON","","",214,58,34,11,15,23118,10850,12268,15952,1341,44,3297,1746,925.685612942296,250.886754909594,147.071545981486,47.5819707587162,64.8845055800675
"9",2118,"BOSTON","ROXBURY","",730,148,70,31,13,27830,14032,13798,12753,4981,19,4070,5093,2623.06863097377,531.800215594682,251.527128997485,111.390585698886,46.7121810995329
"10",2119,"BOSTON","ROXBURY","DORCHESTER",1125,265,111,86,30,28199,13453,14746,3384,14114,356,974,8372,3989.50317387141,939.749636511933,393.630979821979,304.975353735948,106.386751303238
"11",2120,"BOSTON","ROXBURY","",154,30,9,10,2,14928,7729,7199,5413,3011,35,2625,3573,1031.61843515541,200.96463022508,60.2893890675241,66.9882100750268,13.3976420150054
"12",2121,"BOSTON","","",590,176,62,65,12,29919,13592,16327,860,18534,0,164,9408,1971.99104248137,588.254955045289,207.2261773455,217.253250442862,40.1082923894515
"13",2122,"BOSTON","ROXBURY","DORCHESTER",192,52,22,16,2,25059,12434,12625,7840,7532,34,5303,2890,766.191787381779,207.510275749232,87.7928089708288,63.8493156151483,7.98116445189353
"14",2124,"BOSTON","ROXBURY","DORCHESTER",539,214,83,59,11,55821,25276,30545,9309,31205,196,3515,9746,965.586428046793,383.368266423031,148.689561276222,105.694989340929,19.7058454703427
"15",2125,"BOSTON","DORCHESTER","",395,131,43,41,5,34358,17211,17147,10258,10705,85,3795,7394,1149.65946795506,381.279469119274,125.152802840678,119.331742243437,14.552651493102
"16",2126,"BOSTON","MATTAPAN","",263,103,58,32,9,29591,13954,15637,1213,22560,50,262,4686,888.783751816431,348.078807745598,196.005542225677,108.140988814166,30.4146531039843
"17",2127,"BOSTON","SOUTH BOSTON","",83,31,6,8,5,36898,18032,18866,28489,2273,62,1650,3830,224.94444143314,84.0153937882812,16.2610439590222,21.6813919453629,13.5508699658518
"18",2128,"BOSTON","EAST BOSTON","ROXBURY",136,46,25,10,7,46927,24990,21937,15569,1267,21,2280,26451,289.811835403925,98.0245913866218,53.274234449251,21.3096937797004,14.9167856457903
"19",2129,"BOSTON","CHARLESTOWN","REVERE",109,39,15,12,4,19414,8754,10660,14206,1006,0,1546,2284,561.450499639435,200.885958586587,77.2638302256104,61.8110641804883,20.6036880601628
"20",2130,"BOSTON","JAMAICA PLAIN","",250,50,14,9,2,40377,18889,21488,22868,4439,7,2494,8949,619.164375758476,123.832875151695,34.6732050424747,22.2899175273051,4.95331500606781
"21",2131,"BOSTON","BRIGHTON","",44,13,2,8,1,33771,15427,18344,15865,7386,181,691,8844,130.289301471677,38.4945663439045,5.92224097598531,23.6889639039413,2.96112048799266
"22",2132,"BOSTON","","",25,3,1,1,0,28487,13080,15407,21877,1912,0,1967,2129,87.7593288166532,10.5311194579984,3.51037315266613,3.51037315266613,0
"23",2134,"ALLSTON","BOSTON","BRIGHTON",164,23,12,6,2,19424,10118,9306,10655,756,83,4869,2380,844.316309719934,118.41021416804,61.7792421746293,30.8896210873147,10.2965403624382
"24",2135,"BOSTON","BRIGHTON","",188,26,16,6,3,44760,21717,23043,29455,1764,95,6517,5388,420.017873100983,58.0875781948168,35.7462019660411,13.4048257372654,6.70241286863271
"25",2136,"BOSTON","HYDE PARK","",73,10,1,2,0,34223,16132,18091,8695,14586,20,614,9278,213.306840428951,29.2201151272536,2.92201151272536,5.84402302545072,0
"26",2199,"BOSTON","","",12,2,1,0,1,1149,446,703,756,0,0,340,53,1044.3864229765,174.064403829417,87.0322019147084,0,87.0322019147084
"27",2203,"BOSTON","","",22,4,1,0,0,25,25,0,25,0,0,0,0,88000,16000,4000,0,0
"28",2210,"BOSTON","","",14,2,2,0,0,3196,1882,1314,2617,131,0,258,92,438.047559449312,62.5782227784731,62.5782227784731,0,0
"29",2215,"BOSTON","","",65,15,6,2,2,25619,10900,14719,14947,1138,17,5486,2908,253.71794371365,58.55029470315,23.42011788126,7.80670596042,7.80670596042
"30",2467,"BOSTON","","",1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",NA,"BOSTON","ROXBURY","DORCHESTER",13,2,2,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
