"","zip","white_int","black_int","latinx_int","totpop","male","female","NHwhite","NHblack","NHnative","NHasianPI","Latinx","black_rate","white_rate","latinx_rate","bw_irr","lw_irr"
"1",2108,89,350,78,4082,1979,2103,3372,188,5,151,201,1,0.0263938315539739,0.388059701492537,37.8876404494382,14.7026664430656
"2",2109,23,40,17,3853,2139,1714,3166,144,0,313,142,0.277777777777778,0.00726468730259002,0.119718309859155,38.2367149758454,16.479485609308
"3",2110,40,55,20,2449,1008,1441,1972,28,0,235,35,1,0.0202839756592292,0.571428571428571,49.3,28.1714285714286
"4",2111,116,442,124,7926,3727,4199,2767,311,39,4242,440,1,0.0419226599204915,0.281818181818182,23.8534482758621,6.72233542319749
"5",2113,29,1,3,7531,3879,3652,6677,25,16,124,588,0.04,0.00434326793470121,0.00510204081632653,9.20965517241379,1.1747009148487
"6",2114,50,34,16,13516,6860,6656,9765,551,8,1336,1597,0.0617059891107078,0.00512032770097286,0.0100187852222918,12.0511796733212,1.95666875391359
"7",2115,74,47,28,29108,14410,14698,16959,2268,24,4543,4400,0.0207231040564374,0.00436346482693555,0.00636363636363636,4.74923137423137,1.45839066339066
"8",2116,114,138,57,23118,10850,12268,15952,1341,44,3297,1746,0.102908277404922,0.00714643931795386,0.0326460481099656,14.3999372031869,4.56815578465063
"9",2118,229,682,433,27830,14032,13798,12753,4981,19,4070,5093,0.136920297129091,0.0179565592409629,0.0850186530532103,7.62508536806678,4.73468507592834
"10",2119,196,1257,324,28199,13453,14746,3384,14114,356,974,8372,0.0890605072977186,0.057919621749409,0.0387004300047778,1.53765692191571,0.668174771102899
"11",2120,13,210,45,14928,7729,7199,5413,3011,35,2625,3573,0.0697442710063102,0.0024016257158692,0.0125944584382872,29.0404414582429,5.24413873280372
"12",2121,18,660,159,29919,13592,16327,860,18534,0,164,9408,0.0356102298478472,0.0209302325581395,0.0169005102040816,1.70137764828603,0.807468820861678
"13",2122,40,130,49,25059,12434,12625,7840,7532,34,5303,2890,0.0172596919808816,0.00510204081632653,0.0169550173010381,3.38289962825279,3.32318339100346
"14",2124,28,531,103,55821,25276,30545,9309,31205,196,3515,9746,0.0170165037654222,0.0030078418734558,0.0105684383336754,5.65737976972555,3.51362830172085
"15",2125,79,334,145,34358,17211,17147,10258,10705,85,3795,7394,0.0312003736571695,0.00770130629752388,0.0196104949959427,4.05130927816766,2.54638554010607
"16",2126,14,215,68,29591,13954,15637,1213,22560,50,262,4686,0.00953014184397163,0.0115416323165705,0.0145113102859582,0.825718718338399,1.25730138406195
"17",2127,60,34,26,36898,18032,18866,28489,2273,62,1650,3830,0.0149582050153982,0.00210607602934466,0.00678851174934726,7.10240504472797,3.22329852045257
"18",2128,21,49,116,46927,24990,21937,15569,1267,21,2280,26451,0.0386740331491713,0.00134883422185111,0.00438546746814865,28.6721915285451,3.25130204817173
"19",2129,43,60,25,19414,8754,10660,14206,1006,0,1546,2284,0.0596421471172962,0.00302689004645924,0.0109457092819615,19.7041009755421,3.61615688510569
"20",2130,27,301,104,40377,18889,21488,22868,4439,7,2494,8949,0.0678080648794774,0.00118068917264299,0.0116214102134317,57.430919543107,9.84290402817613
"21",2131,13,25,45,33771,15427,18344,15865,7386,181,691,8844,0.00338478202003791,0.000819413803971005,0.00508819538670285,4.13073590368473,6.20955537000313
"22",2132,19,5,3,28487,13080,15407,21877,1912,0,1967,2129,0.00261506276150628,0.000868492023586415,0.00140911225927666,3.0110383175512,1.62248152085239
"23",2134,79,70,56,19424,10118,9306,10655,756,83,4869,2380,0.0925925925925926,0.00741435945565462,0.0235294117647059,12.4882794186592,3.1734921816828
"24",2135,65,66,45,44760,21717,23043,29455,1764,95,6517,5388,0.0374149659863946,0.00220675606857919,0.00835189309576837,16.95473574045,3.78469247901319
"25",2136,4,40,15,34223,16132,18091,8695,14586,20,614,9278,0.00274235568353215,0.000460034502587694,0.00161672774304807,5.96119566707802,3.51436193145074
"26",2199,14,3,2,1149,446,703,756,0,0,340,53,1,0.0185185185185185,0.0377358490566038,54,2.0377358490566
"27",2210,8,5,1,3196,1882,1314,2617,131,0,258,92,0.0381679389312977,0.00305693542223921,0.0108695652173913,12.4856870229008,3.55570652173913
"28",2215,43,31,13,25619,10900,14719,14947,1138,17,5486,2908,0.0272407732864675,0.00287683147119823,0.00447042640990371,9.4690194956472,1.55394101276351
"29",NA,21,76,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
